id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
355263,IN-0311,heliport,Pilani Helipad,28.349.677,75.591.104,974,AS,India,IN,Rajasthan,IN-RJ,RJ,Pilani,0,,,,,,,0,2022-06-28T04:06:08+00:00
355266,IN-0313,heliport,EON Helipad,18.545.464,7.396.432,1774,AS,India,IN,Maharashtra,IN-MM,MM,Pune,0,,,,,,,0,2022-06-28T04:14:12+00:00
355268,IN-0315,heliport,RPSCL Private Helipad,2.783.428,7.992.742,501,AS,India,IN,Uttar Pradesh,IN-UP,UP,Shahjahanpur,0,,,,,,,0,2022-06-28T04:19:29+00:00
355270,IN-0316,heliport,Varanasi Police Line Helipad,2.534.819,8.298.752,255,AS,India,IN,Uttar Pradesh,IN-UP,UP,Varanasi,0,,,,,,,0,2022-06-28T04:27:35+00:00
342094,IN-0277,large_airport,Manohar International Airport,15.744.257,73.860.625,552,AS,India,IN,Goa,IN-GA,GA,Mopa,1,VOGA,GOX,,https://www.miagoaairport.com/,https://en.wikipedia.org/wiki/Manohar_International_Airport,Mopa International,1000,2024-05-30T06:20:36+00:00
512065,VAHS,large_airport,Rajkot International Airport,22.378.824,71.039.391,647,AS,India,IN,Gujarat,IN-GJ,GJ,Rajkot,0,VAHS,HSR,,,https://en.wikipedia.org/wiki/Rajkot_International_Airport,Hirasar Airport,850,2023-09-15T14:52:30+00:00
26513,VEMR,medium_airport,Dimapur Airport,25.883.899.688.699.900,9.377.110.290.530.000,487,AS,India,IN,Nagaland,IN-NL,NL,Dimapur,1,VEMR,DMU,,,https://en.wikipedia.org/wiki/Dimapur_Airport,,750,2010-09-11T09:34:10+00:00
26511,VELR,medium_airport,Lilabari North Lakhimpur Airport,272.955,94.097.603,330,AS,India,IN,Assam,IN-AS,AS,Lilabari,1,VELR,IXI,,,https://en.wikipedia.org/wiki/Lilabari_Airport,,750,2022-09-15T17:51:06+00:00
26549,VIBY,medium_airport,Bareilly Air Force Station,284.221,79.450.798,580,AS,India,IN,Uttar Pradesh,IN-UP,UP,Bareilly,1,VIBY,BEK,,,https://en.wikipedia.org/wiki/Trishul_Air-base,Trishul Air Base,500,2024-04-10T16:39:40+00:00
46512,IN-0025,medium_airport,Ayodhya Airport,26.751.283,82.155.295,335,AS,India,IN,Uttar Pradesh,IN-UP,UP,Faizabad,1,VEAY,AYJ,,,https://en.wikipedia.org/wiki/Ayodhya_Airport,Maharishi Valmiki International,500,2024-04-01T14:03:34+00:00
26500,VEGK,medium_airport,Gorakhpur Airport,26.739.700.317.399.900,834.496.994.019,259,AS,India,IN,Uttar Pradesh,IN-UP,UP,Gorakhpur,1,VEGK,GOP,,http://www.aai.aero/allAirports/gorakhpur.jsp,https://en.wikipedia.org/wiki/Gorakhpur_Airport,Gorakhpur Air Force Station,500,2010-09-09T20:14:22+00:00
354546,IN-0308,medium_airport,Itanagar Donyi Polo Hollongi Airport,2.696.683,93.638.792,328,AS,India,IN,Arunachal Pradesh,IN-AR,AR,Hollongi,1,VEHO,HGI,,,https://en.wikipedia.org/wiki/Itanagar_Airport,,500,2024-04-10T16:38:46+00:00
26611,VOCP,medium_airport,Kadapa Airport,14.513.154,78.769.183,430,AS,India,IN,Andhra Pradesh,IN-AP,AP,Kadapa,1,VOCP,CDP,,,https://en.wikipedia.org/wiki/Kadapa_Airport,Cuddapah,500,2022-09-09T12:26:41+00:00
3341,VO55,medium_airport,Murod Kond Airport,18.411.501,76.464.699,2136,AS,India,IN,Maharashtra,IN-MM,MM,Latur,1,VALT,LTU,,,https://en.wikipedia.org/wiki/Latur_Airport,,500,2018-04-30T11:16:59+00:00
30180,VAND,medium_airport,Nanded Airport,191.833,77.316.704,1250,AS,India,IN,Maharashtra,IN-MM,MM,Nanded,1,VOND,NDC,VOND,,https://en.wikipedia.org/wiki/Nanded_Airport,,500,2023-05-02T01:34:24+00:00
340146,VOKU,medium_airport,Kurnool Airport,15.716.288,7.816.923,920,AS,India,IN,Andhra Pradesh,IN-AP,AP,Orvakal,1,VOKU,KJB,KJB,,https://en.wikipedia.org/wiki/Kurnool_Airport,Orvakal,500,2022-09-09T12:26:03+00:00
26573,VIPT,medium_airport,Pantnagar Airport,290.334,79.473.701,769,AS,India,IN,Uttar Pradesh,IN-UP,UP,Pantnagar,1,VIPT,PGH,,,https://en.wikipedia.org/wiki/Pantnagar_Airport,Panthnagar,500,2024-04-07T16:05:32+00:00
508348,VOSR,medium_airport,Sindhudurg Airport,16,73.533.333,202,AS,India,IN,Maharashtra,IN-MM,MM,Sindhudurg,1,VOSR,SDW,VOSR,,https://en.wikipedia.org/wiki/Sindhudurg_Airport,"sindhudurg, vosr, sdw",500,2023-05-02T01:12:52+00:00
26488,VEAN,medium_airport,Along Airport,2.817.530.059.814.450,94.802.001.953.125,900,AS,India,IN,Arunachal Pradesh,IN-AR,AR,,0,VEAN,IXV,,,https://en.wikipedia.org/wiki/Along_Airport,,250,2008-06-13T14:30:04+00:00
26457,VARG,medium_airport,Ratnagiri Airport,17.013.599,73.327.797,305,AS,India,IN,Maharashtra,IN-MM,MM,,0,VARG,RTC,,,https://en.wikipedia.org/wiki/Ratnagiri_Airport,,250,2018-04-30T11:42:45+00:00
